𣲗,wéi,vy,nước chảy ngược,,,,,,,
沄,yún,vân,dòng chảy xiết của dòng nước lũ,,,,,,,
沘,bǐ,bǐ,tên một con sông,,,,,,,
𬇙,bèi,bái,dị thể của 浿 (sông Bái),,,,,,,
汭,ruì,nhuế,khúc sông,,,,,,,
㳇,fù,fù,(dùng trong địa danh),,,,,,,
沇,yǎn,duyện,họ [Yan3] | biến thể cổ của 兗|兖[yan3],,,,,,,
忮,zhì,kĩ,(văn học) (hình thức kết hợp) ghen tị,,,,,,,
忳,tún,đồn,"buồn bã, ngu đần",,,,,,,
忺,xiān,hiêm,(văn học) muốn, khao khát/(văn học) vui vẻ, hài lòng, hạnh phúc,,,,
𬣡,jiàn,kiềm,dị thể của 銒 (đồ đựng canh),,,,,,,
祃,mà,mã,(cổ) nghi lễ tôn giáo trước khi xuất quân,,,,,,,
诇,xiòng,huýnh,(văn học) do thám/dò xét,,,,,,,
邲,bì,bật,họ [Bi4]/tên địa danh cổ,,,,,,,
诎,qū,truất,uốn cong/nhượng bộ/kiệt sức/nói lắp,,,,,,,
诐,bì,bí,không công bằng/nịnh nọt,,,,,,,
屃,xì,xì,biến thể của 屭|屃[xi4] | xem 贔屭|赑屃[Bi4 xi4],,,,,,,
𫸩,kōu,khu,đầu mút của cung/kéo căng,,,,,,,
岊,jié,tiết,đỉnh núi,,,,,,,
阽,diàn,diêm,nguy hiểm/cũng đọc là [yan2],,,,,,,
䢺,chū,chū,(dùng trong địa danh),,,,,,,
阼,zuò,tộ,bậc thềm dẫn đến cửa phía đông,,,,,,,
妧,yuán,ngoạn,tốt đẹp (vẻ đẹp của phụ nữ),,,,,,,
妘,yún,vân,"họ [Yun2]/(dùng trong tên riêng, chủ yếu là tên nữ)",,,,,,,
𨚕,biàn,khâm,tên đất cổ,,,,,,,
纮,hóng,hoành,dây mũ/rộng lớn,,,,,,,
驲,rì,nhật,ngựa trạm,,,,,,,
𫘜,wén,trượng,"dị thể của 駔 (ngựa hay, mạnh mẽ)",,,,,,,
纻,zhù,trữ,cây gai (Boehmeria nivea),,,,,,,
𬘘,dǎn,đãn,tua lụa của mũ miện,,,,,,,
𫘝,jué,khoái,nhanh (ngựa),,,,,,,
纼,zhèn,chẩn,dây xỏ mũi trâu bò,,,,,,,
玤,bàng,bổng,(đá quý),,,,,,,
玞,fū,phu,một loại ngọc,,,,,,,
玱,qiāng,thương,(từ tượng thanh) tiếng leng keng của ngọc,,,,,,,
玟,wén,mân,đá giống ngọc | vân trong ngọc,,,,,,,
邽,guī,khuê,họ [Gui1]/tên địa danh cổ,,,,,,,
邿,shī,thi,tên địa danh,,,,,,,
坥,qū,thả,địa danh,,,,,,,
坰,jiōng,quynh,vùng lân cận/hoang dã,,,,,,,
坬,guà|wā,qua,mặt đất gồ ghề,,,,,,,
坽,líng,líng,(văn học) vách đá dốc/(dùng trong địa danh),,,,,,,
弆,jǔ,khí,(văn học) thu thập/lưu trữ,,,,,,,
耵,dīng,đinh,dùng trong 耵聹|耵聍[ding1ning2]/Phiên âm Đài Loan: [ding3],,,,,,,
䢼,gōng,cung,tên đất cổ,,,,,,,
𦭜,zhī,tuất,dị thể của 荗,,,,,,,
茋,dǐ,chỉ,tên cỏ,,,,,,,
苧,níng,trữ | ninh,"Boehmeria nivea/cây gai | (dùng trong dạng kết hợp trong 薴烯|苧烯[ning2 xi1], limonene)/rối bời/lộn xộn",,,,,,,
苾,bì,bật,(phiên âm)/thơm phức,,,,,,,
苠,mín,mín,đông đúc/vỏ tre,,,,,,,
枅,jī,kê,vòm chống nóc nhà,,,,,,,
㭎,gāng,cương,"cái nong, cái gùi",,,,,,,
枘,ruì,nhuế,mộng/tay cầm dụng cụ/nêm,,,,,,,
枍,yì,ế,tên cây,,,,,,,
矼,gāng,cang,cầu đá,,,,,,,
矻,kū,khốt,dùng trong 矻矻[ku1 ku1]/cách phát âm ở Đài Loan [ku4],,,,,,,
匼,kē,hộp,"[Unihan] place in Ruìchéng county, Shānxī; ancient term for a scholar's cap",,,,,,,
𬨂,qí,𬨂,đầu trục xe,,,,,,,
𬀩,wěi,vĩ,ánh sáng rực rỡ của mặt trời,,,,,,,
𬀪,xiàn,hiện,xuất hiện (mặt trời),,,,,,,
旿,wǔ,ngọ,sáng rực,,,,,,,
昇,shēng,thăng,biến thể của 升[sheng1] | (dùng làm họ và trong tên riêng),,,,,,,
昄,bǎn,bản,lớn/rộng rãi,,,,,,,
昒,hū,hốt,bình minh/rạng đông/mờ tối/mờ mịt,,,,,,,
昈,hù,hộ,sáng sủa,,,,,,,
咉,yāng,ương,ánh sáng,,,,,,,
咇,bì,tất,thơm,,,,,,,
咍,hāi,hai,(thán từ)/vui vẻ/tiếng cười,,,,,,,
岵,hù,hỗ,(văn học) núi phủ đầy thực vật,,,,,,,
岽,dōng,đông,tên địa danh ở tỉnh Quảng Tây,,,,,,,
岨,jū|qū,thư,đồi đá,,,,,,,
岞,zuò,trách,(dùng trong tên địa danh)/biến thể của 岝[Zuo4],,,,,,,
峂,tóng,tóng,(dùng trong địa danh),,,,,,,
㟃,sī,sī,(dùng trong tên địa danh),,,,,,,
囷,qūn,khuân,kho thóc/đài loan đọc là [jun1],,,,,,,
𬬩,yì,y,dị thể của 銥 (nguyên tố Iridi),,,,,,,
钐,shān|shàn,sam,samarium (hoá học) | cắt bằng liềm/lưỡi liềm lớn,,,,,,,
钔,mén,môn,mendelevium (hoá học),,,,,,,
钖,yáng,dương,đồ trang trí trên dây cương ngựa,,,,,,,
牥,fāng,phương,trâu đất,,,,,,,
佴,nài,nhị,trợ lý,,,,,,,
垈,dài,dài,dùng trong địa danh/hậu tố -nuta trong tiếng Nhật/-dae trong tiếng Hàn,,,,,,,
侁,shēn,thân,đám đông lớn,,,,,,,
侹,tǐng,đĩnh,(văn học) ngang và thẳng,,,,,,,
佸,huó,quát,gặp gỡ,,,,,,,
佺,quán,thuyên,tiên,,,,,,,
隹,zhuī,chuy,chim đuôi ngắn,,,,,,,
㑊,yì,yì,dùng trong 解㑊[xie4 yi4],,,,,,,
侂,tuō,thác,giao phó/uỷ thác/đề cử/yêu cầu/nhờ (ai đó làm gì),,,,,,,
佽,cì,thứ,họ [Ci4] | nhanh nhẹn/giúp đỡ,,,,,,,
侘,chà,sá,khoác lác/chán nản,,,,,,,
郈,hòu,hậu,họ [Hou4]/tên địa danh,,,,,,,
舠,dāo,đao,thuyền kayak,,,,,,,
郐,kuài,cối,họ [Kuai4]/tên của một nước chư hầu,,,,,,,
郃,hé,cáp,tên một người,,,,,,,
攽,bān,ban,biến thể của 頒|颁[ban1],,,,,,,
肭,nà,nạp,dùng trong 膃肭|腽肭[wa4 na4],,,,,,,
肸,xī,hật,cười khúc khích/tán loạn,,,,,,,
肷,qiǎn,qiǎn,(thường chỉ động vật) phần cơ thể ở bên hông giữa xương sườn và xương hông,,,,,,,
狉,pī,phi,chó lửng con,,,,,,,
狝,xiǎn,tiển,săn bắn vào mùa thu (cổ đại),,,,,,,
饳,duò,đốt,dùng trong 餶飿|馉饳[gu3 duo4],,,,,,,
忞,mín,mân,khích lệ bản thân | biến thể cổ của 暋[min3] | không có trật tự/lộn xộn/hỗn loạn,,,,,,,
於,yū|yú,ư,(chỉ thời gian hoặc địa điểm) ở, tại, trên/(chỉ mối quan hệ gián tiếp) đến, hướng tới, đối với, về, cho/(chỉ nguồn gốc) từ, tới từ/(dùng trong so sánh) hơn/(dùng trong câu bị động) bởi | họ [Yu1]/đọc ở Đài Loan: [Yu2] | (văn học) Ồ!/A!
炌,kài,kài,lửa bùng/phồn thể cũ của 烗[kai4],,,,,,,
炆,wén,văn,(tiếng Quảng Đông) hầm/nấu lửa nhỏ,,,,,,,
泙,píng,bình,âm thanh nước văng,,,,,,,
沺,tián,điền,chảy xiết,,,,,,,
泂,jiǒng,huýnh,mênh mông,,,,,,,
泜,zhī,trì,một con sông ở tỉnh Hà Bắc,,,,,,,
泃,jū,cú,(tên một con sông ở phía đông Bắc Kinh)/cách phát âm Đài Loan [Ju4],,,,,,,
泇,jiā,gia,tên một con sông chảy qua Sơn Đông và Giang Tô,,,,,,,
怊,chāo,siêu,(văn học) buồn, đau buồn, thất vọng, nản lòng,,,,
峃,xué,xué,núi đá lớn,,,,,,,
穸,xī,tịch,mộ,,,,,,,
祋,duì,đội,binh khí thời cổ,,,,,,,
祊,bēng,banh,bàn thờ phụ trong miếu tổ tiên,,,,,,,
𫍣,tóng,sấm,dị thể của 譖 (vu khống),,,,,,,
𬣳,hěn,san,dị thể của 釤 (nguyên tố Samari),,,,,,,
𬩽,xún,tầm,họ [Xun2]/tên địa danh/phiên âm Đài Loan [Xin2],,,,,,,
鸤,shī,thi,chim cu gáy,,,,,,,
弢,tāo,thao,ống đựng cung/che đậy,,,,,,,
弨,chāo,siêu,cung chưa giương,,,,,,,
陑,ér,nhi,tên địa danh,,,,,,,
𬮿,gài,ngâm,dị thể của 霪 (mưa dầm),,,,,,,
陎,shū,shū,họ [Shu1]/(tên một địa danh cổ),,,,,,,
𬯀,jī,tê,bay lên/rơi/cầu vồng/sương mù,,,,,,,
卺,jǐn,cẩn,cốc rượu lễ cưới,,,,,,,
乸,nǎ,nǎ,hậu tố chỉ giống cái (Quảng Đông)/hậu tố chỉ giống nữ,,,,,,,
妭,bá,bá,(văn học) người phụ nữ đẹp/biến thể cũ của 魃[ba2],,,,,,,
姈,líng,líng,(văn học) (về phụ nữ) thông minh/(chủ yếu dùng trong tên nữ),,,,,,,
𫰛,xíng,ngạch,dị thể của 額 (cái trán),,,,,,,
迳,jìng,kính,đường/lối/trực tiếp/đường kính,,,,,,,
叕,zhuó,chuyết,kết hợp lại/thiếu/hẹp và nông,,,,,,,
𬳵,pī,phi,(ngựa),,,,,,,
驵,zǎng,tảng,ngựa mạnh,,,,,,,
𬳶,jiōng,quynh,trong tình trạng tốt (như ngựa),,,,,,,
䌹,jiǒng,quýnh,loại áo đơn sắc không có lót,,,,,,,
驺,zōu,sô,họ [Zou1] | người chăm sóc hoặc người đánh xe được quý tộc thuê (xưa),,,,,,,
𫠊,xuán,hi,"dị thể của 犧 (tế sinh, hi sinh)",,,,,,,
绋,fú,phất,dây thừng nặng/dây của quan tài,,,,,,,
绐,dài,đãi,lừa gạt/giả vờ/lừa dối,,,,,,,
砉,huā,hoạch,âm thanh của vật bay nhanh/vù/vang răng rắc/phát âm Đài Loan [huo4] | âm thanh lột da,,,,,,,
耔,zǐ,tỷ,vun xới đất quanh cây trồng,,,,,,,
㛃,jié,jié,biến thể của 潔|洁[jie2] (chủ yếu dùng trong tên riêng),,,,,,,
玶,píng,píng,tên một loại ngọc,,,,,,,
珇,zǔ,zǔ,chạm khắc trên ngọc,,,,,,,
珅,shēn,thân,một loại ngọc,,,,,,,
𬍛,lì,lịch,rực rỡ (ngọc trai),,,,,,,
珋,liǔ,liǔ,(văn học) viên đá quý sáng chói,,,,,,,
玹,xuán,huyền,đá quý như ngọc/màu ngọc,,,,,,,
珌,bì,tất,ngọc trên vỏ kiếm,,,,,,,
玿,sháo,sháo,(văn học) một loại ngọc đẹp,,,,,,,
韨,fú,phất,tấm bảo vệ đầu gối,,,,,,,
垚,yáo,nghiêu,"biến thể của 堯|尧, vua Nghiêu truyền thuyết, khoảng năm 2200 TCN/đê điều",,,,,,,
垯,da,đáp,dùng trong 圪墶|圪垯[ge1da5],,,,,,,
垙,guāng,guāng,(văn học) lối đi giữa các cánh đồng/(dùng trong địa danh),,,,,,,
垲,kǎi,khải,địa hình khô ráo,,,,,,,
埏,shān,duyên,trộn nước với đất sét | ranh giới,,,,,,,
垍,jì,jì,đất cứng,,,,,,,
耇,gǒu,cẩu,khuôn mặt nhăn nheo của người cao tuổi,,,,,,,
鿍,gàng,gàng,đồi/vùng cao dài và hẹp/(dùng trong địa danh),,,,,,,
垎,hè,hè,(văn học) (về đất) khô và cứng/(dùng trong địa danh),,,,,,,
垴,nǎo,nǎo,đồi nhỏ/dùng trong địa danh,,,,,,,
垟,yáng,yáng,cừu đất sét chôn cùng người chết,,,,,,,
垞,chá,xá,gò/đồi nhỏ/(dùng trong địa danh),,,,,,,
挓,zhā,trát,mở ra/mở rộng,,,,,,,
垵,ān,am,(dùng trong địa danh)/biến thể của 埯[an3],,,,,,,
垏,lǜ,lǜ,(văn học) bờ đất giữa các ruộng/(dùng trong địa danh),,,,,,,
拶,zā|zǎn,tạt,(văn học) ép buộc, cưỡng bức | nhấn hoặc ép mạnh,,,,,,
荖,lǎo,lão,"tên cỏ, lá trầu không",,,,,,,
荁,huán,huán,(rau)/Viola vaginata,,,,,,,
荙,dá,đạt,plantago major,,,,,,,
荛,ráo,nhiêu,củi/cỏ,,,,,,,
茈,cí|zǐ,sài,Cây đạm bì thông Âu (Lithospermum officinale),,,,,,,
茽,zhòng,zhòng,cây cối mọc dày,,,,,,,
荄,gāi,cai,rễ cây,,,,,,,
茺,chōng,súng,[Unihan] motherwort,,,,,,,
𬜬,màn,cận,dị thể của 覲 (yết kiến),,,,,,,
荓,píng,bình,tên cỏ,,,,,,,
茳,jiāng,giang,dùng trong 茳芏[jiang1 du4],,,,,,,
𦰡,nà|nuó,na,tên cỏ,,,,,,,
茛,gèn,cấn,cây mao lương,,,,,,,
荭,hóng,hồng,dùng trong 葒草|荭草[hong2 cao3],,,,,,,
㭕,qū,khứ,tên cây,,,,,,,
柷,zhù,chúc,"nhạc cụ gõ, một hộp gỗ thon được đánh bên trong bằng một que gỗ",,,,,,,
柃,líng,linh,Eurya japonica,,,,,,,
柊,zhōng,chung,dùng trong 柊葉|柊叶[zhong1 ye4],,,,,,,
枹,bāo,phu,cây sồi Quercus glandulifera,,,,,,,
栐,yǒng,yǒng,(cổ) một loại cây có gỗ dùng để làm thẻ nghi lễ 笏[hu4],,,,,,,
柖,sháo,thiều,"tên cây, hoặc cây rung chuyển",,,,,,,
郚,wú,ngữ,tên địa danh,,,,,,,
剅,lóu,lâu,(phương ngữ) một lỗ ở đáy đê để cho nước ra vào/kênh nhỏ qua bờ sông/(dùng trong địa danh)/Ở Đài Loan đọc là [dou1],,,,,,,
䴓,shī,shī,chim trèo cây (chim thuộc chi Sitta),,,,,,,
迺,nǎi,nãi,"biến thể của 乃[nai3] (dùng làm họ, trong tên hoặc địa danh)",,,,,,,
厖,máng,mang,to lớn,,,,,,,
砆,fū,phu,mã não/đá quý kém/một loại ngọc,,,,,,,
砑,yà,nhạ,cán láng,,,,,,,
砄,jué,jué,đá/tảng đá,,,,,,,
耏,ér|nài,nhi,họ [Er2] | râu,,,,,,,
奓,zhā,xỉ,biến thể cũ của 侈[chi3] | biến thể cũ của 奢[she1] | mở/lan ra,,,,,,,
䶮,yǎn,yểm,cao và sáng,,,,,,,
轵,zhǐ,chỉ,đầu trục ngoài của moyơ,,,,,,,
轷,hū,hū,họ [Hu1],,,,,,,
轹,lì,lịch,bắt nạt/vết bánh xe,,,,,,,
轺,yáo,diêu,xe nhẹ,,,,,,,
昺,bǐng,bỉnh,sáng/ngời,,,,,,,
𪾢,xiàn,hiển,trợn mắt,,,,,,,
昽,lóng,lông,dùng trong 曚曨|曚昽[meng2 long2],,,,,,,
盷,tián,điền,tên đất cổ,,,,,,,
咡,èr,nhị,khoảng cách giữa miệng và tai,,,,,,,
咺,xuān,tuyển,rạng rỡ/nức nở/khóc,,,,,,,
昳,dié,điệt,mặt trời lặn ở phía tây,,,,,,,
昣,zhěn,zhěn,(văn học) sáng,,,,,,,
哒,dā,đát,(phiên âm)/ra lệnh cho ngựa/tiếng lộc cộc (của móng ngựa),,,,,,,
昤,líng,líng,ánh nắng,,,,,,,
昫,xù,hu,biến thể của 煦[xu4]/dịu dàng/ấm áp dễ chịu/ấm cúng,,,,,,,
昡,xuàn,huyễn,ngày dài/kéo dài/thư giãn,,,,,,,
咥,xì,hý,gặm/cắn | cười to,,,,,,,
昪,biàn,biàn,(văn học) (về ánh sáng mặt trời) sáng/(văn học) vui vẻ, hân hoan (biến thể cũ của 忭[bian4]),,,,,,
虷,gān|hán,can,sâu bọ,,,,,,,
虸,zǐ,zǐ,dùng trong 虸蚄[zi3 fang1],,,,,,,
哃,tóng,tóng,(văn học) nói nhảm/khoác lác/(dùng trong địa danh),,,,,,,
峘,huán,hoàn,núi nhỏ đứng cạnh núi lớn,,,,,,,
耑,duān,chuyên,biến thể của 專|专[zhuan1] | biến thể cũ của 端[duan1]/bắt đầu/nguồn gốc,,,,,,,
峛,liè,lệ,núi thấp,,,,,,,
𪨰,qū,khuể,tên núi,,,,,,,
峗,wéi,nguy,núi cao nhấp nhô,,,,,,,
峧,jiāo,jiāo,(dùng trong địa danh),,,,,,,
帡,píng,bình,che phủ/bức bình phong/mái hiên,,,,,,,
钘,xíng,hình,bình rượu cổ dài,,,,,,,
𫓧,fū,phu,(văn học) dao chặt cỏ/(hóa học) flerovi,,,,,,,
钜,jù,cự,sắt cứng/cái móc/biến thể của 巨[ju4]/biến thể của 詎|讵[ju4],,,,,,,
𬬮,chǎng,𬬮,sắc bén/lưỡi sắc/cạnh nhọn,,,,,,,
𬬱,jīn,khố,dị thể của 鉲 (nguyên tố Californi),,,,,,,
𬬭,lún,𬬭,(kim loại)/roentgeni (hóa học),,,,,,,
钪,kàng,kháng,scandium (hóa học),,,,,,,
钬,huǒ,hoả,holmium (hóa học),,,,,,,
钭,dǒu,đẩu,họ [Tou3] | bình rượu có quai,,,,,,,
矧,shěn,thẩn,(nghi vấn),,,,,,,
秬,jù,cự,kê đen,,,,,,,
俫,lái,lai,dựa dẫm,,,,,,,
舁,yú,dư,nhấc/nâng,,,,,,,
俜,pīng,binh,gửi/để cho đi,,,,,,,
俙,xī,hy,"mập mờ, phảng phất",,,,,,,
俍,liáng,lương,(văn học) giỏi về, chuyên nghiệp trong/(văn học) thợ thủ công lành nghề,,,,,,
垕,hòu,hậu,dày,,,,,,,
衎,kàn,khản,vui vẻ,,,,,,,
舣,yǐ,nghĩ,neo thuyền vào bờ,,,,,,,
弇,yǎn,yểm,che phủ/bẫy,,,,,,,
侴,chǒu,chǒu,họ [Chou3],,,,,,,
鸧,cāng,thương,chim hoàng oanh,,,,,,,
䏡,shì,thị,thịt cúng tế,,,,,,,
胠,qū,khư,mạn sườn của động vật/bên hông/nạy mở/ăn trộm,,,,,,,
𦙶,gǔ,gǔ,biến thể của 股[gu3]/(dùng trong địa danh),,,,,,,
胈,bá,bạt,lông trên da lợn,,,,,,,
胩,kǎ,kǎ,cacbylamin/isoxyanide,,,,,,,
胣,chǐ,dạ,,,,,,,,
朏,fěi,phỉ,(văn học) (trăng lưỡi liềm) bắt đầu tỏa sáng,,,,,,,
飐,zhǎn,triển,lung lay trong gió,,,,,,,
訄,qiú,cầu,(văn học) ép buộc ai đó/cưỡng bách ai đó,,,,,,,
饻,xī,hy,"đồ ăn, lương thực",,,,,,,
庤,zhì,chí,chuẩn bị,,,,,,,
疢,chèn,sấn,(bệnh),,,,,,,
炣,kě,kě,(văn học) lửa/ngọn lửa,,,,,,,
炟,dá,dá,(dùng trong phiên âm từ nước ngoài)/(dùng trong tên gọi)/(cổ) nổ/bắt lửa,,,,,,,
㶲,yòng,dũng,phương ngữ: sôi lên,,,,,,,
洭,kuāng,khuông,tên cổ của sông 洭河[Kuang1 He2] ở Quảng Đông ngày nay/(dùng trong địa danh cổ),,,,,,,
洘,kǎo,khảo,nước cạn,,,,,,,
洓,qì,sách,tên sông,,,,,,,
洿,wū,ô,đào (ao)/nước tù đọng,,,,,,,
㳚,xù,duật,nước chảy,,,,,,,
泚,cǐ,thử,trong sáng/rạng rỡ và sáng ngời,,,,,,,
浈,zhēn,trinh,sông ở tỉnh Quảng Đông,,,,,,,
浉,shī,sư,"Shi, tên con sông ở Tín Dương 信陽|信阳, Hà Nam",,,,,,,
洸,guāng,quang,nước lấp lánh,,,,,,,
洑,fú,phục,xoáy ngầm,,,,,,,
洢,yī,yī,"tên cũ của một con sông ở Hà Nam, nay viết là sông Y Hà 伊河",,,,,,,
洈,wéi,nguy,tên sông,,,,,,,
洚,jiàng,giáng,lũ lụt,,,,,,,
洺,míng,minh,tên một con sông,,,,,,,
洨,xiáo,hào,"sông Tiêu ở tỉnh Hà Bắc | (Phổ thông Đài Loan) (tục) tinh dịch (từ tiếng Đài Loan 潲, phát âm Tai-lo [siâu])",,,,,,,
浐,chǎn,sản,tên một con sông ở tỉnh Thiểm Tây/xem 滻河|浐河[Chan3 He2],,,,,,,
㳘,chōng,chōng,(văn học) (dòng suối núi) chảy xuống/(tượng thanh) tiếng nước chảy,,,,,,,
洴,píng,bình,giặt/tẩy (vải),,,,,,,
洣,mǐ,mễ,"sông Mi ở Hồ Nam, phụ lưu của Tương Giang 湘江",,,,,,,
恔,jiǎo,hiệu,vui vẻ,,,,,,,
宬,chéng,thành,(văn học) phòng lưu trữ, thư viện (đặc biệt trong hoàng cung thời Minh và Thanh),,,,,,
窀,zhūn,truân,chôn cất,,,,,,,
扂,diàn,điệm,then cửa,,,,,,,
袆,huī,huy,lễ phục của hoàng hậu,,,,,,,
祏,shí,thạch,miếu thờ bằng đá,,,,,,,
祐,yòu,hữu,(thần thánh) phù hộ/bảo vệ,,,,,,,
祕,mì,bí,biến thể của 秘[mi4],,,,,,,
叚,xiá,giả,biến thể của 假[jia3]/mượn,,,,,,,
陧,niè,niết,nguy hiểm,,,,,,,
陞,shēng,thăng,biến thể của 升[sheng1],,,,,,,
娀,sōng,tung,tên một nước cổ đại,,,,,,,
姞,jí,cật,họ [Ji2],,,,,,,
姱,kuā,khoa,cuốn hút/đẹp,,,,,,,
姤,gòu,cấu,giao hợp/tốt,,,,,,,
姶,è,ấp,tuyệt vời/đẹp/(dùng trong tên và họ nữ),,,,,,,
姽,guǐ,quỷ,yên tĩnh và dễ thương,,,,,,,
枲,xǐ,tỉ,cây gai nam,,,,,,,
绖,dié,điệt,dải vải gai đeo trên đầu hoặc thắt lưng của người để tang,,,,,,,
骃,yīn,nhân,ngựa màu xám sắt,,,,,,,
𬘡,yīn,nhân,lực sinh thành/phát xạ ma thuật,,,,,,,
𬳽,shēn,sân,đám đông lớn,,,,,,,
𬘩,tīng,đĩnh,dị thể của 鋌 (thoi vàng/bạc),,,,,,,
𫄧,yán,diên,tua rua mũ,,,,,,,
彖,tuàn,thoán,dự đoán tương lai bằng cách sử dụng quẻ của Kinh Dịch 易經|易经,,,,,,,
骉,biāo,bưu,một bầy ngựa,,,,,,,
恝,jiá,kiết,thờ ơ,,,,,,,
珪,guī,khuê,biến thể của 圭[gui1],,,,,,,
珛,xiù,xiù,ngọc nhanh hỏng,,,,,,,
珹,chéng,chéng,một loại ngọc/một loại ngọc trai,,,,,,,
琊,yá,gia,"dùng trong địa danh, đáng chú ý nhất là 瑯琊山|琅琊山[Lang2 ya2 Shan1]/phát âm Đài Loan [ye2]",,,,,,,
玼,cǐ,thử,trong suốt (như trong viên ngọc),,,,,,,
珖,guāng,quang,(ngọc),,,,,,,
𪟝,jì,tích,công trạng, thành tựu (biến thể của 績|绩[ji4]),,,,,,
珽,tǐng,thỉnh,quyền trượng,,,,,,,
珦,xiàng,hướng,một loại ngọc,,,,,,,
珫,chōng,sung,đồ ngọc trang sức,,,,,,,
珒,jīn,jīn,một loại ngọc,,,,,,,
𬍤,xún,thọ,dị thể của 壽 (tuổi thọ),,,,,,,
珢,yín,ngân,tên một loại ngọc đá,,,,,,,
珕,lì,lệ,vỏ sò dùng làm trang sức,,,,,,,
珝,xǔ,xǔ,một loại ngọc,,,,,,,
𫭼,láo,hoàn,dị thể của 堚 (địa danh),,,,,,,
埗,bù,bù,bến cảng/bến tàu/cầu tàu/trung tâm thương mại/cảng/tên địa điểm,,,,,,,
垾,hàn,hạn,con đê nhỏ,,,,,,,
垺,fú,phu,cực kỳ lớn,,,,,,,
埆,què,xác,(về đất đai) cằn cỗi/đầy sỏi đá,,,,,,,
垿,xù,xù,giá để cốc bằng đất còn được gọi là 反坫[fan3 dian4] (cổ)/biến thể cũ của 序,,,,,,,
埌,làng,lãng,đất hoang/hoang dã,,,,,,,
埇,yǒng,yǒng,lối đi nâng cao,,,,,,,
莰,kǎn,kǎn,camphane C10H18,,,,,,,
茝,chǎi,chỉ,"cây thơm, có thể là bạch chỉ 白芷[bai2 zhi3] (cổ đại)",,,,,,,
𬜯,liǎng,bàng,dị thể của 耪 (cuốc đất),,,,,,,
鄀,ruò,nhược,tên địa danh,,,,,,,
莶,xiān,thiêm,tên cỏ (cỏ thiêm),,,,,,,
莝,cuò,tỏa,băm rơm nhuyễn cho động vật,,,,,,,
䓖,qióng,cùng,xem 芎藭|芎䓖[xiong1 qiong2],,,,,,,
莙,jūn,quân,loài thực vật dưới nước,,,,,,,
栻,shì,thức,(cây),,,,,,,
桠,yā,nha,nhánh cây chia đôi,,,,,,,
𬂩,jiā,𬂩,(cũ) đũa/tiếng Đài Loan phát âm [jia2],,,,,,,
桄,guāng|guàng,quáng,dùng trong 桄榔[guang1 lang2] | dụng cụ đan bằng gỗ và tre/lượng từ cho sợi và dây,,,,,,,
梠,lǚ,lữ,xà nhà ở mái hiên,,,,,,,
栴,zhān,chiên,dùng trong 栴檀[zhan1 tan2],,,,,,,
梴,chān,siên,chiều dài (của cây hoặc xà)/dài,,,,,,,
栒,xún,xún,thanh ngang,,,,,,,
酎,zhòu,trữu,rượu mạnh,,,,,,,
酏,yǐ,di,dược thang/rượu ngọt,,,,,,,
𫠆,kuǐ,khuể,ngẩng đầu,,,,,,,
砵,bō,bát,bát khất thực,,,,,,,
砠,jū,thư,đồi đá,,,,,,,
砫,zhù,zhù,bài vị tổ tiên,,,,,,,
砬,lá,lá,tảng đá khổng lồ/đá cao chót vót,,,,,,,
硁,kēng,khanh,bướng bỉnh,,,,,,,
恧,nǜ,nục,xấu hổ,,,,,,,
翃,hóng,hồng,bay theo đàn (côn trùng),,,,,,,
郪,qī,thê,tên một con sông/tên địa danh,,,,,,,
𨐈,guāng,chu,dị thể của 輈 (càng xe),,,,,,,
辀,zhōu,chu,(văn học) trục (xe ngựa)/xe ngựa,,,,,,,
辁,quán,thuyên,hạn chế (về tài năng hoặc khả năng)/(cổ) bánh xe đặc (không có nan),,,,,,,
𬌗,hé,minh,dị thể của 暝 (tối tăm),,,,,,,
剕,fèi,phí,"hình phạt chặt chân tay/biến thể của 腓, bắp chân",,,,,,,
赀,zī,ti,ước tính/phạt tiền (cổ)/biến thể của 資|资[zi1],,,,,,,
哢,lòng,lộng,hót hoặc hót líu lo (của chim)/âm thanh nhạc,,,,,,,
晅,xuǎn,huyên,ánh sáng mặt trời/phơi khô dưới nắng,,,,,,,
晊,zhì,trất,sáng rực,,,,,,,
唝,hǒng,cống,"dùng để phiên âm trong 嗊吥|唝吥[Gong4 bu4] | dùng trong tiêu đề một bài hát cổ, 囉嗊曲|啰唝曲[Luo2 hong3 Qu3]",,,,,,,
哳,zhā,triết,dùng trong 嘲哳[zhao1 zha1]/dùng trong 啁哳[zhao1 zha1]/cách phát âm ở Đài Loan: [zha2],,,,,,,
哱,bō,bột,dùng trong 呼哱哱[hu1 bo1 bo1],,,,,,,
冔,xǔ,hu,mũ của triều đại Ân,,,,,,,
晔,yè,diệp,ánh sáng rực rỡ/sáng lấp lánh,,,,,,,
晐,gāi,cai,"đầy đủ, bao quát",,,,,,,
晖,huī,huy,ánh nắng/chiếu rọi/biến thể của 輝|辉[hui1],,,,,,,
畖,wā,oa,vùng đất trũng,,,,,,,
蚄,fāng,phương,dùng trong 虸蚄[zi3 fang1],,,,,,,
蚆,bā,ba,một loại vỏ sò,,,,,,,
𫑡,méng,mang,dị thể của 杧 (cây xoài),,,,,,,
帱,chóu|dào,trù,mái che/rèm | mái che,,,,,,,
